D			= 2;

nLocations	= 37;
loc_x		= [74.349 54.995 24.939 62.352 38.586 49.828 54.247 70.82 48.551 54.738 47.764 59.456 46.824 45.435 61.929 64.62 73.937 36.635 30.784 27.694 72.706 33.516 54.261 47.731 48.782 54.558 34.649 41.703 34.298 15.425 29.053 62.453 38.208 71.671 45.002 47.404 73.196];
loc_y		= [51.994 40.283 17.792 51.514 19.988 70.732 69.785 30.284 56.413 27.225 40.221 47.15 55.827 23.176 32.388 66.243 35.316 29.52 58.818 60.748 66.96 41.909 74.657 38.372 18.338 31.152 38.166 55.648 73.92 66.875 32.818 64.13 27.378 51.771 33.829 36.586 68.513];

nCities		= 30;
city_x		= [50.956 59.802 49.444 43.756 55.903 45.663 36.806 56.197 44.519 43.55 37.35 45.484 37.126 35.537 58.362 49.898 36.452 55.07 40.263 45.539 43.738 44.816 48.293 55.177 36.699 51.237 55.718 38.413 54.388 41.485];
city_y		= [46.811 31.221 41.485 56.966 56.771 52.146 46.061 58.602 50.204 58.898 45.428 51.838 43.026 34.264 31.967 47.534 36.102 50.515 47.066 59.592 50.468 30.526 47.109 49.803 56.572 51.991 53.65 57.445 30.484 52.668];
city_pop	= [298 278 118 289 122 262 211 233 92 249 32 132 93 91 59 186 30 226 288 280 283 99 194 212 109 70 271 269 167 208];

nCentres	= 13;
work_dist	= [46.375 34.76 33.985 52.411 34.139 38.14 39.65 35.831 33.795 53.42 33.179 41.935 29.058];
centre_cap	= [417 420 379 419 425 441 400 449 405 416 422 407 432];
instal_cost	= [556.487 584.63 647.338 645.408 110.341 261.215 796.344 625.235 977.6 860.491 620.172 657.872 236.184];

