D			= 2;

nLocations	= 22;
loc_x		= [5 8 12 13 12 7 8 16 11 15 9 14 3 10 14 9 4 6 4 15 13 11];
loc_y		= [10 5 12 14 12 7 7 8 13 13 3 17 8 15 6 10 17 16 5 5 10 17];

nCities		= 50;
city_x		= [9 11 17 5 18 7 4 0 2 9 6 3 4 17 10 13 19 18 19 1 14 4 4 11 14 9 20 5 9 4 9 6 19 17 8 12 12 1 2 1 10 19 12 7 2 8 5 15 3 5];
city_y		= [16 8 4 17 19 15 12 11 1 8 7 17 18 19 13 19 16 13 0 5 3 0 19 18 3 14 13 14 7 0 17 10 0 1 6 3 10 3 12 12 1 18 20 17 12 6 19 19 14 18];
city_pop	= [39198 42004 71331 13663 70036 53275 68962 35684 43040 91176 66068 69560 73318 91074 76161 73539 30434 76221 14561 99666 10130 76236 21872 82074 51485 74606 87407 32572 51750 43279 52314 86965 22849 40001 72924 26106 88783 75995 53620 12882 94531 40802 89870 68310 15561 93746 52316 34930 44818 90240];

nCentres	= 18;
work_dist	= [5.0 8.0 2.0 2.0 1.0 3.0 2.0 3.0 1.0 5.0 6.0 6.0 8.0 3.0 6.0 3.0 4.0 3.0];
centre_cap	= [241559 241130 88783 26677 0 97877 153734 19874 83622 214254 246314 485369 268200 188049 175558 68697 377164 199887];
instal_cost	= [24130 25179 18625 26314 20947 18377 16832 21985 9581 5966 13330 11326 22963 22679 19887 22896 7063 5435];


/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Miquel Tubau
 *********************************************/
